name,extracted_address,latitude,longitude,url,cleaned_url,url_type,address,addr_cos_sim
Ministop -  Hoàng Hoa Thám 4,"10A Hoàng Hoa Thám, Phường 7, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam",10.8047072,106.6918625,"https://www.google.com/maps/place/MINISTOP/@10.8047072,106.6918625,17z/data=!3m1!4b1!4m6!3m5!1s0x317528c467f81b55:0xa0c0e32a7fb95e48!8m2!3d10.8047072!4d106.6918625!16s/g/11btrs3q_0","https://www.google.com/maps/place/MINISTOP/@10.8047072,106.6918625,17z/data=!3m1!4b1!4m6!3m5!1s0x317528c467f81b55:0xa0c0e32a7fb95e48!8m2!3d10.8047072!4d106.6918625!16s/g/11btrs3q_0",search+selected_place,"153A Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh.",0.7947673
Ministop -  Nguyễn Văn Lượng,"87, street 11, district Go Vap, Phường 16, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam",10.8398546,106.6670188,"https://www.google.com/maps/place/MINISTOP-S233/@10.8398546,106.6670188,17z/data=!3m1!4b1!4m6!3m5!1s0x317529fe448fa325:0xf201aa42b5fd24fd!8m2!3d10.8398546!4d106.6670188!16s/g/11w3p1wg60","https://www.google.com/maps/place/MINISTOP-S233/@10.8398546,106.6670188,17z/data=!3m1!4b1!4m6!3m5!1s0x317529fe448fa325:0xf201aa42b5fd24fd!8m2!3d10.8398546!4d106.6670188!16s/g/11w3p1wg60",search+selected_place,"368/16 Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Thành phố Hồ Chí Minh.",0.6804873
Ministop -  Cityland Park Hills 2,"P5-00.13 Cityland Park Hills, 18 Đ. Phan Văn Trị, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam",10.836833,106.6675504,"https://www.google.com/maps/place/Ministop/@10.836833,106.6675504,17z/data=!3m1!4b1!4m6!3m5!1s0x3175292161caf477:0x479077db8b93dede!8m2!3d10.836833!4d106.6675504!16s/g/11ftwg106f","https://www.google.com/maps/place/Ministop/@10.836833,106.6675504,17z/data=!3m1!4b1!4m6!3m5!1s0x3175292161caf477:0x479077db8b93dede!8m2!3d10.836833!4d106.6675504!16s/g/11ftwg106f",search+selected_place,"Lô thương mại TMDV03 tại tầng 1, địa chỉ số 0.08 Chung cư CH3, Đường số 8, Khu dân cư Cityland, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh.",0.5941821
Ministop -  Khu dân cư Vĩnh Lộc,"1 Đ. A8, Khu Phố 5, Bình Tân, Thành phố Hồ Chí Minh 700000, Vietnam",10.8043218,106.593699,"https://www.google.com/maps/place/Ministop%2B-%2BS228%2BKhu%2BD%C3%A2n%2BC%C6%B0%2BV%C4%A9nh%2BL%E1%BB%99c%2B-%2B%C4%90%C6%B0%E1%BB%9Dng%2BS%E1%BB%91%2B8/@10.8043218,106.593699,17z/data=!3m1!4b1!4m6!3m5!1s0x31752bd600f0d39d:0x18722e932b402d1d!8m2!3d10.8043218!4d106.593699!16s/g/11vl501_f7","https://www.google.com/maps/place/Ministop%2B-%2BS228%2BKhu%2BD%C3%A2n%2BC%C6%B0%2BV%C4%A9nh%2BL%E1%BB%99c%2B-%2B%C4%90%C6%B0%E1%BB%9Dng%2BS%E1%BB%91%2B8/@10.8043218,106.593699,17z/data=!3m1!4b1!4m6!3m5!1s0x31752bd600f0d39d:0x18722e932b402d1d!8m2!3d10.8043218!4d106.593699!16s/g/11vl501_f7",search+selected_place,"01 Đường số 8, Khu dân cư Vĩnh Lộc, Khu phố 4, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh.",0.7840859
Ministop -  Cao ốc Re,"Bắc Sơn, Trảng Bom District, Dong Nai, Vietnam",10.9663656,106.9547279,"https://www.google.com/maps/place/Mini%2BStop/@10.9663656,106.9547279,17z/data=!3m1!4b1!4m6!3m5!1s0x3174e721466e4a0f:0xcf898445c430840!8m2!3d10.9663656!4d106.9547279!16s/g/11hm427vtn","https://www.google.com/maps/place/Mini%2BStop/@10.9663656,106.9547279,17z/data=!3m1!4b1!4m6!3m5!1s0x3174e721466e4a0f:0xcf898445c430840!8m2!3d10.9663656!4d106.9547279!16s/g/11hm427vtn",search+selected_place,"Tầng 1&2 – TMDV 03 – Cao ốc RES11, 205 Lạc Long Quân, Phường 03, Quận 11, Thành phố Hồ Chí Minh.",0.56177294
Ministop -  Tân Quý 2,"446 Đ. Tân Kỳ Tân Quý, Tân Quý, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.7985708,106.6165472,"https://www.google.com/maps/place/Ministop%2BS210%2B-%2B446%2BT%C3%A2n%2BK%E1%BB%B3%2BT%C3%A2n%2BQu%C3%BD/@10.7985708,106.6165472,17z/data=!3m1!4b1!4m6!3m5!1s0x31752b2d5ecd5969:0x2616307ab6825485!8m2!3d10.7985708!4d106.6165472!16s/g/11kqrg8sk2","https://www.google.com/maps/place/Ministop%2BS210%2B-%2B446%2BT%C3%A2n%2BK%E1%BB%B3%2BT%C3%A2n%2BQu%C3%BD/@10.7985708,106.6165472,17z/data=!3m1!4b1!4m6!3m5!1s0x31752b2d5ecd5969:0x2616307ab6825485!8m2!3d10.7985708!4d106.6165472!16s/g/11kqrg8sk2",search+selected_place,"192 - 194 Tân Quý, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh.",0.80181277
Ministop -  Trần Bình Trọng,"52A Trần Bình Trọng, Phường 5, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam",10.8127055,106.6879861,"https://www.google.com/maps/place/MINISTOP/@10.8127055,106.6879861,17z/data=!3m1!4b1!4m6!3m5!1s0x3175295cffff2989:0x3d988226a14d5c63!8m2!3d10.8127055!4d106.6879861!16s/g/11krtx7b82","https://www.google.com/maps/place/MINISTOP/@10.8127055,106.6879861,17z/data=!3m1!4b1!4m6!3m5!1s0x3175295cffff2989:0x3d988226a14d5c63!8m2!3d10.8127055!4d106.6879861!16s/g/11krtx7b82",search+selected_place,"52G Trần Bình Trọng, Phường 05, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",0.84664166
Ministop -  Mã Lò,"102 Đường Số 29, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Vietnam",10.7568145,106.611728,"https://www.google.com/maps/place/CHTL%2B-%2BMINISTOP%2B-%2BS257%2B-%2B%C4%90%C6%B0%E1%BB%9Dng%2Bs%E1%BB%91%2B29/@10.7568145,106.611728,17z/data=!3m1!4b1!4m6!3m5!1s0x31752d0009d9f3f5:0x7d10875e351a63b3!8m2!3d10.7568145!4d106.611728!16s/g/11y6b46zks","https://www.google.com/maps/place/CHTL%2B-%2BMINISTOP%2B-%2BS257%2B-%2B%C4%90%C6%B0%E1%BB%9Dng%2Bs%E1%BB%91%2B29/@10.7568145,106.611728,17z/data=!3m1!4b1!4m6!3m5!1s0x31752d0009d9f3f5:0x7d10875e351a63b3!8m2!3d10.7568145!4d106.611728!16s/g/11y6b46zks",search+selected_place,"168 Mã Lò, Khu phố 2, Phường Bình Trị Đông A, Quận Bình Tân, Thành phố Hồ Chí Minh.",0.75673234
Ministop -  Lê Đức Thọ 2,"527 Đ. Lê Đức Thọ, Phường 16, Gò Vấp, Thành phố Hồ Chí Minh 70000, Vietnam",10.8463217,106.6704441,"https://www.google.com/maps/place/MINISTOP%2B-%2BL%C3%AA%2B%C4%90%E1%BB%A9c%2BTh%E1%BB%8D/@10.8463217,106.6704441,17z/data=!3m1!4b1!4m6!3m5!1s0x31752976c24363db:0xbec98fd9626dabe5!8m2!3d10.8463217!4d106.6704441!16s/g/11syj81266","https://www.google.com/maps/place/MINISTOP%2B-%2BL%C3%AA%2B%C4%90%E1%BB%A9c%2BTh%E1%BB%8D/@10.8463217,106.6704441,17z/data=!3m1!4b1!4m6!3m5!1s0x31752976c24363db:0xbec98fd9626dabe5!8m2!3d10.8463217!4d106.6704441!16s/g/11syj81266",search+selected_place,"1177 Lê Đức Thọ, Phường 15, Quận Gò Vấp, Thành phố Hồ Chí Minh.",0.7942897
Ministop -  Cư Xá Lữ Gia,"43B Đường Số 2, Khu Phố 2, Quận 11, Thành phố Hồ Chí Minh, Vietnam",10.7717332,106.6546196,"https://www.google.com/maps/place/Mini%2BStop/@10.7717332,106.6546196,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f27fd7bd077:0x1c7d2e440ee8a00!8m2!3d10.7717332!4d106.6546196!16s/g/11l5x2kb43","https://www.google.com/maps/place/Mini%2BStop/@10.7717332,106.6546196,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f27fd7bd077:0x1c7d2e440ee8a00!8m2!3d10.7717332!4d106.6546196!16s/g/11l5x2kb43",search+selected_place,"77B Đường số 2 Cư Xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh.",0.82827854
