name,extracted_address,latitude,longitude,url,cleaned_url,url_type,address,addr_cos_sim
"Ministop -  Trương Vĩnh Ký 212 - 214 Trương Vĩnh Ký, Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh.","212 Trương Vĩnh Ký, Tân Sơn Nhì, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.7943579,106.6308498,"https://www.google.com/maps/place/MINISTOP%2BTr%C6%B0%C6%A1ng%2BV%C4%A9nh%2BK%C3%BD/@10.7943579,106.6308498,17z/data=!3m1!4b1!4m6!3m5!1s0x317529000c47913d:0xcea0eca8bf9ddacd!8m2!3d10.7943579!4d106.6308498!16s/g/11y0dy1gr9","https://www.google.com/maps/place/MINISTOP%2BTr%C6%B0%C6%A1ng%2BV%C4%A9nh%2BK%C3%BD/@10.7943579,106.6308498,17z/data=!3m1!4b1!4m6!3m5!1s0x317529000c47913d:0xcea0eca8bf9ddacd!8m2!3d10.7943579!4d106.6308498!16s/g/11y0dy1gr9",place,"212 - 214 Trương Vĩnh Ký, Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh.",0.9109325
"Ministop -  Nguyễn Trãi 2 318 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh.","318 Nguyễn Trãi, Phường 7, Quận 5, Thành phố Hồ Chí Minh, Vietnam",10.7560026,106.674836,"https://www.google.com/maps/place/Ministop%2B-%2B318%2BNguy%E1%BB%85n%2BTr%C3%A3i/@10.7560026,106.674836,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0067d157b3:0xe0577ff0296c36cc!8m2!3d10.7560026!4d106.674836!16s/g/11xvtqltwj","https://www.google.com/maps/place/Ministop%2B-%2B318%2BNguy%E1%BB%85n%2BTr%C3%A3i/@10.7560026,106.674836,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0067d157b3:0xe0577ff0296c36cc!8m2!3d10.7560026!4d106.674836!16s/g/11xvtqltwj",place,"318 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh.",0.89464056
"Ministop -  Lê Văn Sỹ 2 407B Lê Văn Sỹ, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh.","407B Đ. Lê Văn Sỹ, Phường 12, Quận 3, Thành phố Hồ Chí Minh, Vietnam",10.7887404,106.6759977,"https://www.google.com/maps/place/MINISTOP%2B-%2BS269%2B-%2BL%C3%AA%2BV%C4%83n%2BS%E1%BB%B9%2B2/@10.7887404,106.6759977,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0011390e65:0x92279e08846e38fe!8m2!3d10.7887404!4d106.6759977!16s/g/11yhs09b58","https://www.google.com/maps/place/MINISTOP%2B-%2BS269%2B-%2BL%C3%AA%2BV%C4%83n%2BS%E1%BB%B9%2B2/@10.7887404,106.6759977,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0011390e65:0x92279e08846e38fe!8m2!3d10.7887404!4d106.6759977!16s/g/11yhs09b58",place,"407B Lê Văn Sỹ, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh.",0.91035485
"Ministop -  Trần Quốc Hoàn 117 Trần Quốc Hoàn, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh.","117 Đ. Trần Quốc Hoàn, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8058828,106.6642476,"https://www.google.com/maps/place/MINISTOP%2B-%2BTR%E1%BA%A6N%2BQU%E1%BB%90C%2BHO%C3%80N/@10.8058828,106.6642476,17z/data=!3m1!4b1!4m6!3m5!1s0x317529002bc94a43:0x69381db8ded344c4!8m2!3d10.8058828!4d106.6642476!16s/g/11xncrd93n","https://www.google.com/maps/place/MINISTOP%2B-%2BTR%E1%BA%A6N%2BQU%E1%BB%90C%2BHO%C3%80N/@10.8058828,106.6642476,17z/data=!3m1!4b1!4m6!3m5!1s0x317529002bc94a43:0x69381db8ded344c4!8m2!3d10.8058828!4d106.6642476!16s/g/11xncrd93n",place,"117 Trần Quốc Hoàn, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh.",0.88707423
"Ministop -  Võ Oanh 92 - 94 Võ Oanh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh.","92-94 Võ Oanh, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam",10.8046445,106.714722,"https://www.google.com/maps/place/Mini%2BStop/@10.8046445,106.714722,17z/data=!3m1!4b1!4m6!3m5!1s0x317529001c2dce5d:0xd88915627ded901a!8m2!3d10.8046445!4d106.714722!16s/g/11yjhkkj6k","https://www.google.com/maps/place/Mini%2BStop/@10.8046445,106.714722,17z/data=!3m1!4b1!4m6!3m5!1s0x317529001c2dce5d:0xd88915627ded901a!8m2!3d10.8046445!4d106.714722!16s/g/11yjhkkj6k",place,"92 - 94 Võ Oanh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",0.9328308
"Ministop -  Tô Vĩnh Diện 3A Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.","3A Tô Vĩnh Diện, Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",10.8523923,106.7667698,"https://www.google.com/maps/place/MINISTOP%2BS264%2B-%2BT%C3%94%2BV%C4%A8NH%2BDI%E1%BB%86N/@10.8523923,106.7667698,17z/data=!3m1!4b1!4m6!3m5!1s0x3175270067c951e1:0x7c0e13de2d04a91!8m2!3d10.8523923!4d106.7667698!16s/g/11xlpl0qd_","https://www.google.com/maps/place/MINISTOP%2BS264%2B-%2BT%C3%94%2BV%C4%A8NH%2BDI%E1%BB%86N/@10.8523923,106.7667698,17z/data=!3m1!4b1!4m6!3m5!1s0x3175270067c951e1:0x7c0e13de2d04a91!8m2!3d10.8523923!4d106.7667698!16s/g/11xlpl0qd_",place,"3A Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",0.9006103
"Ministop -  Hoàng Việt 3 22 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh.","22 Hoàng Việt, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.7953043,106.6590358,"https://www.google.com/maps/place/Ministop%2B-%2BS263%2B-%2BHo%C3%A0ng%2BVi%E1%BB%87t/@10.7953043,106.6590358,17z/data=!3m1!4b1!4m6!3m5!1s0x317529007611b5d1:0x528700dbb7bb77e7!8m2!3d10.7953043!4d106.6590358!16s/g/11y7jz_j_q","https://www.google.com/maps/place/Ministop%2B-%2BS263%2B-%2BHo%C3%A0ng%2BVi%E1%BB%87t/@10.7953043,106.6590358,17z/data=!3m1!4b1!4m6!3m5!1s0x317529007611b5d1:0x528700dbb7bb77e7!8m2!3d10.7953043!4d106.6590358!16s/g/11y7jz_j_q",place,"22 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh.",0.89832973
"Ministop -  Đường số 20 29 Đường số 20, Khu phố 4, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.","29 Đ. Số 20, Hiệp Bình Chánh, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",10.8277355,106.7228442,"https://www.google.com/maps/place/CHTL%2B-%2BMINISTOP%2B-%2B261%2B-%2B%C4%90%C6%B0%E1%BB%9Dng%2Bs%E1%BB%91%2B20/@10.8277355,106.7228442,17z/data=!3m1!4b1!4m6!3m5!1s0x317529004175dbe3:0xe58865645e8ed5a0!8m2!3d10.8277355!4d106.7228442!16s/g/11wc4j87ry","https://www.google.com/maps/place/CHTL%2B-%2BMINISTOP%2B-%2B261%2B-%2B%C4%90%C6%B0%E1%BB%9Dng%2Bs%E1%BB%91%2B20/@10.8277355,106.7228442,17z/data=!3m1!4b1!4m6!3m5!1s0x317529004175dbe3:0xe58865645e8ed5a0!8m2!3d10.8277355!4d106.7228442!16s/g/11wc4j87ry",place,"29 Đường số 20, Khu phố 4, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",0.8756299
"Ministop -  Lý Chính Thắng 226/1A - 228 Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh.","228 Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Vietnam",10.7789479,106.6818124,"https://www.google.com/maps/place/CHTL%2BMinistop%2B-%2BS260%2B-%2BL%C3%BD%2BCh%C3%ADnh%2BTh%E1%BA%AFng/@10.7789479,106.6818124,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f006ffb8135:0xcd8bf4d969c7c31f!8m2!3d10.7789479!4d106.6818124!16s/g/11w4cb_56h","https://www.google.com/maps/place/CHTL%2BMinistop%2B-%2BS260%2B-%2BL%C3%BD%2BCh%C3%ADnh%2BTh%E1%BA%AFng/@10.7789479,106.6818124,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f006ffb8135:0xcd8bf4d969c7c31f!8m2!3d10.7789479!4d106.6818124!16s/g/11w4cb_56h",place,"226/1A - 228 Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh.",0.9225824
"Ministop -  Cư xá Phú Lâm D 48 Lô C, Đường nội bộ Cư xá Phú Lâm D, Phường 10, Quận 6, Thành phố Hồ Chí Minh.","48 Lô C Lý Chiêu Hoàng, Phường 10, Quận 6, Thành phố Hồ Chí Minh, Vietnam",10.7377209,106.6298096,"https://www.google.com/maps/place/CHTL%2B-%2BMINISTOP%2B-%2B259%2B-%2BC%C6%B0%2Bx%C3%A1%2BPh%C3%BA%2BL%C3%A2m%2BD/@10.7377209,106.6298096,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0067a8de63:0x712161c761860643!8m2!3d10.7377209!4d106.6298096!16s/g/11wc9lm7rc","https://www.google.com/maps/place/CHTL%2B-%2BMINISTOP%2B-%2B259%2B-%2BC%C6%B0%2Bx%C3%A1%2BPh%C3%BA%2BL%C3%A2m%2BD/@10.7377209,106.6298096,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0067a8de63:0x712161c761860643!8m2!3d10.7377209!4d106.6298096!16s/g/11wc9lm7rc",place,"D 48 Lô C, Đường nội bộ Cư xá Phú Lâm D, Phường 10, Quận 6, Thành phố Hồ Chí Minh.",0.8536593
