,url
11,"https://www.google.com/maps/place/CHTL+Ministop+-+S260+-+L%C3%BD+Ch%C3%ADnh+Th%E1%BA%AFng/@10.7789532,106.6792375,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f006ffb8135:0xcd8bf4d969c7c31f!8m2!3d10.7789479!4d106.6818124!16s%2Fg%2F11w4cb_56h?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
12,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+259+-+C%C6%B0+x%C3%A1+Ph%C3%BA+L%C3%A2m+D/@10.7377262,106.6272347,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0067a8de63:0x712161c761860643!8m2!3d10.7377209!4d106.6298096!16s%2Fg%2F11wc9lm7rc?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
13,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+S258+-+L%C3%AA+Minh+Xu%C3%A2n/@10.7870904,106.6514923,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0078501f95:0x83a3d5ad6fab7638!8m2!3d10.7870851!4d106.6540672!16s%2Fg%2F11w3vbqzf9?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
14,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+S257+-+%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+29/@10.7568198,106.6091531,17z/data=!3m1!4b1!4m6!3m5!1s0x31752d0009d9f3f5:0x7d10875e351a63b3!8m2!3d10.7568145!4d106.611728!16s%2Fg%2F11y6b46zks?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
15,"https://www.google.com/maps/place/CHTL+Ministop+-+S256+-+T%C3%A2n+S%C6%A1n+Nh%C3%AC/@10.7990691,106.491807,11z/data=!4m10!1m2!2m1!1zTWluaXN0b3AgLSAgVMOibiBTxqFuIE5ow6wgMyA!3m6!1s0x3175290077e3f453:0x59a2d476e31264d7!8m2!3d10.7990691!4d106.6318827!15sCh1NaW5pc3RvcCAtICBUw6JuIFPGoW4gTmjDrCAzICIDiAEBWhsiGW1pbmlzdG9wIHTDom4gc8ahbiBuaMOsIDOSAQxvdXRsZXRfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZNWVZjeVgxQTJNRTE1VVdkUlJSQULgAQD6AQQIABA8!16s%2Fg%2F11vxygdcwx?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
16,"https://www.google.com/maps/place/MINISTOP+-+Tan+Ky+Tan+Quy/@10.803264,106.6221479,15z/data=!4m10!1m2!2m1!1zTWluaXN0b3AgLSAgVMOibiBL4buzIFTDom4gUXXDvSAzIA!3m6!1s0x317529000bfa0347:0x3c73f3c990def354!8m2!3d10.803264!4d106.6309026!15sCiJNaW5pc3RvcCAtICBUw6JuIEvhu7MgVMOibiBRdcO9IDMgIgOIAQFaICIebWluaXN0b3AgdMOibiBr4buzIHTDom4gcXXDvSAzkgERY29udmVuaWVuY2Vfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnlMVFZwWWxkM0VBReABAPoBBAgAECo!16s%2Fg%2F11v_4pv2c9?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
17,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+S254+-+Celadon+City/@10.8042277,106.6142255,17z/data=!4m10!1m2!2m1!1sMinistop+-++Alnata+Plus+%E2%80%93+Celadon+City+!3m6!1s0x31752b005445caf1:0xb75d59c613fde84!8m2!3d10.8039193!4d106.6167408!15sCilNaW5pc3RvcCAtICBBbG5hdGEgUGx1cyDigJMgQ2VsYWRvbiBDaXR5ICIDiAEBkgEMb3V0bGV0X3N0b3Jl4AEA!16s%2Fg%2F11w3lspy4c?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
18,"https://www.google.com/maps/place/Ministop+Topaz+Home+2/@10.8648534,106.8082382,17z/data=!3m1!4b1!4m6!3m5!1s0x3175270004299aa7:0x6027059844f6f3b1!8m2!3d10.8648481!4d106.8108131!16s%2Fg%2F11w3bv9qcq?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
19,"https://www.google.com/maps/place/Ministop/@10.7805338,106.6665568,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0058cc8acd:0xe2388717e1b34937!8m2!3d10.7805285!4d106.6691317!16s%2Fg%2F11vzgg48fb?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
20,"https://www.google.com/maps/place/Ministop+-+Westgate/@10.6844901,106.5370903,14z/data=!4m10!1m2!2m1!1sMinistop+-++Westgate+!3m6!1s0x317533000fa7efe7:0x6c66ad9c7427587c!8m2!3d10.6902398!4d106.5862555!15sChVNaW5pc3RvcCAtICBXZXN0Z2F0ZSAiA4gBAVoTIhFtaW5pc3RvcCB3ZXN0Z2F0ZZIBEWNvbnZlbmllbmNlX3N0b3Jl4AEA!16s%2Fg%2F11y43xgh7w?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
