address,latitude,longitude,url
"124 Đường số 01, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh.",10.8825875,106.6601614,"https://www.google.com/maps/search/124+%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+01,+Ph%C6%B0%E1%BB%9Dng+10,+Qu%E1%BA%ADn+T%C3%A2n+B%C3%ACnh,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@10.8825875,106.6601614,11z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"226/1A - 228 Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh.",10.7799124,106.679821,"https://www.google.com/maps/place/226+L%C3%BD+Ch%C3%ADnh+Th%E1%BA%AFng,+Ph%C6%B0%E1%BB%9Dng+V%C3%B5+Th%E1%BB%8B+S%C3%A1u,+Qu%E1%BA%ADn+3,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.7799124,106.679821,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f2f5278d4f9:0x296167d5e9abbee9!8m2!3d10.7799071!4d106.6823959!16s%2Fg%2F11f5h490x2?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"D 48 Lô C, Đường nội bộ Cư xá Phú Lâm D, Phường 10, Quận 6, Thành phố Hồ Chí Minh.",15.8138851,100.8844217,"https://www.google.com/maps/search/D+48+L%C3%B4+C,+%C4%90%C6%B0%E1%BB%9Dng+n%E1%BB%99i+b%E1%BB%99+C%C6%B0+x%C3%A1+Ph%C3%BA+L%C3%A2m+D,+Ph%C6%B0%E1%BB%9Dng+10,+Qu%E1%BA%ADn+6,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@15.8138851,100.8844217,6z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"102 Lê Minh Xuân, Phường 07, Quận Tân Bình, Thành phố Hồ Chí Minh.",10.7870921,106.6514918,"https://www.google.com/maps/place/102+L%C3%AA+Minh+Xu%C3%A2n,+Ph%C6%B0%E1%BB%9Dng+7,+T%C3%A2n+B%C3%ACnh,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh+007007,+Vietnam/@10.7870921,106.6514918,17z/data=!3m1!4b1!4m6!3m5!1s0x31752eca17b2625d:0x6e1ee78a519b39df!8m2!3d10.7870868!4d106.6540667!16s%2Fg%2F11q85yr7g6?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"102 Đường số 29, Khu phố 2, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh.",10.7568198,106.6091531,"https://www.google.com/maps/place/102+%C4%90%C6%B0%E1%BB%9Dng+S%E1%BB%91+29,+B%C3%ACnh+Tr%E1%BB%8B+%C4%90%C3%B4ng+B,+B%C3%ACnh+T%C3%A2n,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.7568198,106.6091531,17z/data=!3m1!4b1!4m6!3m5!1s0x31752c314c46ce93:0x56c7ef22931caf77!8m2!3d10.7568145!4d106.611728!16s%2Fg%2F11vqmrlx3b?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"200A - 200B Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh.",10.7973089,106.6217177,"https://www.google.com/maps/search/200A+-+200B+T%C3%A2n+S%C6%A1n+Nh%C3%AC,+Ph%C6%B0%E1%BB%9Dng+T%C3%A2n+S%C6%A1n+Nh%C3%AC,+Qu%E1%BA%ADn+T%C3%A2n+Ph%C3%BA,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@10.7973089,106.6217177,16z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"164A Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh.",10.8032489,106.6284124,"https://www.google.com/maps/place/164a+%C4%90.+T%C3%A2n+K%E1%BB%B3+T%C3%A2n+Qu%C3%BD,+T%C3%A2n+S%C6%A1n+Nh%C3%AC,+T%C3%A2n+Ph%C3%BA,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.8032489,106.6284124,17z/data=!3m1!4b1!4m6!3m5!1s0x317529578de923e1:0xdaf8f2710d0a7faa!8m2!3d10.8032436!4d106.6309873!16s%2Fg%2F11rgg156tc?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"S2.0.02, Tầng Trệt và Tầng 1, Khối đế P2, Khu A6 (Alnata Plus – Celadon City), Số 2, Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh.",10.8027217,106.6103261,"https://www.google.com/maps/search/S2.0.02,+T%E1%BA%A7ng+Tr%E1%BB%87t+v%C3%A0+T%E1%BA%A7ng+1,+Kh%E1%BB%91i+%C4%91%E1%BA%BF+P2,+Khu+A6+(Alnata+Plus+%E2%80%93+Celadon+City),+S%E1%BB%91+2,+%C4%90%C6%B0%E1%BB%9Dng+N1,+Ph%C6%B0%E1%BB%9Dng+S%C6%A1n+K%E1%BB%B3,+Qu%E1%BA%ADn+T%C3%A2n+Ph%C3%BA,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@10.8027217,106.6103261,16z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"223 Đường 154, Phường Tân Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",10.8648361,106.8082375,"https://www.google.com/maps/place/223+%C4%90.+154,+Long+Th%E1%BA%A1nh+M%E1%BB%B9,+Qu%E1%BA%ADn+9,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.8648361,106.8082375,17z/data=!3m1!4b1!4m6!3m5!1s0x31752756b49cb069:0x10f087dcef1acb77!8m2!3d10.8648308!4d106.8108124!16s%2Fg%2F11xrdk4dy9?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"161 Tô Hiến Thành, Phường 13, Quận 10, Thành phố Hồ Chí Minh.",10.780527,106.6665185,"https://www.google.com/maps/place/161+%C4%90.+T%C3%B4+Hi%E1%BA%BFn+Th%C3%A0nh,+Ph%C6%B0%E1%BB%9Dng+14,+Qu%E1%BA%ADn+10,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.780527,106.6665185,17z/data=!3m1!4b1!4m6!3m5!1s0x31752ed0a2e32cbb:0x95228803c2584e8b!8m2!3d10.7805217!4d106.6690934!16s%2Fg%2F11rp3dcv21?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
