address,latitude,longitude,url
Ministop -  Tân Sơn Nhì 3 ,10.8825875,106.6601614,"https://www.google.com/maps/search/Ministop+-++T%C3%A2n+S%C6%A1n+Nh%C3%AC+3+/@10.8825875,106.6601614,11z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  Tân Kỳ Tân Quý 3 ,10.7974518,106.6134251,"https://www.google.com/maps/search/Ministop+-++T%C3%A2n+K%E1%BB%B3+T%C3%A2n+Qu%C3%BD+3+/@10.7974518,106.6134251,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  Alnata Plus – Celadon City ,10.8042277,106.6142255,"https://www.google.com/maps/search/Ministop+-++Alnata+Plus+%E2%80%93+Celadon+City+/@10.8042277,106.6142255,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  Đường 154 ,10.8648534,106.8082382,"https://www.google.com/maps/place/Ministop+Topaz+Home+2/@10.8648534,106.8082382,17z/data=!3m1!4b1!4m6!3m5!1s0x3175270004299aa7:0x6027059844f6f3b1!8m2!3d10.8648481!4d106.8108131!16s%2Fg%2F11w3bv9qcq?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  Tô Hiến Thành ,10.7805338,106.6665568,"https://www.google.com/maps/place/Ministop/@10.7805338,106.6665568,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0058cc8acd:0xe2388717e1b34937!8m2!3d10.7805285!4d106.6691317!16s%2Fg%2F11vzgg48fb?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  Westgate ,10.6873755,106.5745475,"https://www.google.com/maps/search/Ministop+-++Westgate+/@10.6873755,106.5745475,16z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  Chương Dương 2 ,10.8824519,106.7425725,"https://www.google.com/maps/search/Ministop+-++Ch%C6%B0%C6%A1ng+D%C6%B0%C6%A1ng+2+/@10.8824519,106.7425725,12z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  UOA Tower ,10.7301259,106.7221183,"https://www.google.com/maps/place/Ministop+-+UOA+Tower/@10.7301259,106.7221183,17z/data=!3m1!4b1!4m6!3m5!1s0x31752500042a5461:0xebe8bf52a1f4bea1!8m2!3d10.7301206!4d106.7246932!16s%2Fg%2F11y3vq_2r4?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  Mạc Đĩnh Chi 2 ,10.8825875,106.6601614,"https://www.google.com/maps/search/Ministop+-++M%E1%BA%A1c+%C4%90%C4%A9nh+Chi+2+/@10.8825875,106.6601614,11z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  Điện Biên Phủ 2 ,10.7864585,106.6750093,"https://www.google.com/maps/search/Ministop+-++%C4%90i%E1%BB%87n+Bi%C3%AAn+Ph%E1%BB%A7+2+/@10.7864585,106.6750093,14z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  Lê Quang Định 2 ,10.8142985,106.6871722,"https://www.google.com/maps/place/MINISTOP/@10.8142985,106.6871722,17z/data=!3m1!4b1!4m6!3m5!1s0x317528e85f757187:0xb16fd146e3121940!8m2!3d10.8142932!4d106.6897471!16s%2Fg%2F11cs16zn7w?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  An Dương Vương ,10.7532628,106.6218358,"https://www.google.com/maps/place/MINISTOP+-+S243+-+An+D%C6%B0%C6%A1ng+V%C6%B0%C6%A1ng/@10.7532628,106.6218358,17z/data=!3m1!4b1!4m6!3m5!1s0x31752d0059628c91:0x4c7b780104f45cfe!8m2!3d10.7532575!4d106.6244107!16s%2Fg%2F11vx25nyg4?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
Ministop -  Hòa Bình ,10.7834861,106.6299214,"https://www.google.com/maps/search/Ministop+-++H%C3%B2a+B%C3%ACnh+/@10.7834861,106.6299214,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
